amoblado,bathroom,baulera,bedroom,dimension_built,dimension_ground,elevator,garage,id_neighborhood,latitud,longitud,neighborhood,price,status,type_offer,year_built,riesgo
0,1.0,0,3.0,85,0,0,1,29,-16.527618,-68.053825,Achumani,89000.0,1,Venta,2017.0,alto
0,2.0,0,2.0,83,0,0,1,180,-16.514166,-68.08420600000001,Alto Irpavi,83000.0,2,Venta,2002.0,bajo
0,3.0,0,4.0,128,0,1,1,33,-16.539625,-68.047394,Chasquipampa,105000.0,1,Venta,2016.0,bajo
0,3.0,0,2.0,149,0,0,2,32,-16.541565,-68.08426700000001,Calacoto,228000.0,2,Venta,,bajo
0,2.0,0,1.0,60,0,0,1,29,-16.514936,-68.061073,Achumani,94500.0,1,Venta,2019.0,alto
0,4.0,0,4.0,154,0,0,0,178,-16.512133,-68.121941,San Jorge,167000.0,2,Venta,,muy bajo
0,2.0,0,1.0,97,0,0,1,29,-16.529336999999998,-68.06952700000001,Achumani,155800.0,1,Venta,,alto
0,4.0,0,3.0,110,0,0,1,55,-16.546141,-68.081688,Auquisamaña,130000.0,2,Venta,2013.0,bajo
0,2.0,0,3.0,146,0,0,1,180,-16.51602,-68.077332,Alto Irpavi,118000.0,1,Venta,2018.0,bajo
0,4.0,0,3.0,176,0,0,1,42,-16.524342,-68.110672,Obrajes,207000.0,2,Venta,,bajo
0,5.0,0,5.0,250,0,0,1,37,-16.525714999999998,-68.08401500000001,Irpavi,250000.0,2,Venta,,moderado
0,5.0,0,3.0,351,0,0,2,55,-16.547129,-68.07684300000001,Auquisamaña,460000.0,2,Venta,2004.0,bajo
0,2.0,0,2.0,70,0,0,1,52,-16.545101000000003,-68.067619,Los Pinos,76000.0,1,Venta,2019.0,moderado
0,3.0,0,2.0,87,0,0,1,37,-16.525755,-68.08635699999999,Irpavi,105000.0,1,Venta,2019.0,moderado
0,2.0,0,2.0,73,0,0,1,32,-16.540903,-68.08577700000001,Calacoto,125000.0,1,Venta,2018.0,bajo
0,3.0,0,3.0,101,0,0,1,180,-16.529844,-68.081001,Alto Irpavi,100000.0,2,Venta,,bajo
0,3.0,0,2.0,103,0,0,1,29,-16.522382999999998,-68.062721,Achumani,103000.0,1,Venta,,alto
0,2.0,0,2.0,105,0,0,1,55,-16.548502,-68.07315799999999,Auquisamaña,145000.0,2,Venta,,bajo
0,2.0,0,2.0,101,0,0,1,29,-16.519070000000003,-68.064743,Achumani,101000.0,1,Venta,2018.0,alto
0,6.0,0,4.0,222,0,0,2,32,-16.540627999999998,-68.08356500000001,Calacoto,330000.0,2,Venta,,bajo
0,3.0,0,3.0,184,0,0,2,35,-16.540689,-68.06658900000001,Cota Cota,159000.0,2,Venta,,moderado
0,3.0,0,2.0,229,0,0,1,242,-16.547577,-68.052811,El Pedregal,152000.0,1,Venta,,alto
0,3.0,1,3.0,132,0,1,1,29,-16.521866,-68.057709,Achumani,142000.0,2,Venta,,alto
0,3.0,0,2.0,120,0,0,1,29,-16.516527,-68.061691,Achumani,117500.0,2,Venta,,alto
0,3.0,0,4.0,255,0,0,1,35,-16.540277,-68.069763,Cota Cota,230000.0,2,Venta,,moderado
0,2.0,0,2.0,75,0,0,0,32,-16.538757,-68.087273,Calacoto,91000.0,1,Venta,2018.0,bajo
0,3.0,1,3.0,183,183,0,2,35,-16.538742000000003,-68.063843,Cota Cota,165000.0,2,Venta,,moderado
0,2.0,0,2.0,69,0,0,1,37,-16.502031,-68.082245,Irpavi,78000.0,2,Venta,,moderado
