amoblado,amount_max_bs,amount_max_usd,bathroom,baulera,bedroom,dimension,elevator,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_type,id_type_offer,latitud,longitud,pool,price,status,year_built
0,40002059.0,5831204.0,4.0,0,5.0,280,0,1881,,12904,1720,11801,4,537418,1,1,-16.521725,-68.060249,0,340000,2,2009.0
0,40002059.0,5831204.0,5.0,0,3.0,554,0,2545,,17459,2327,15966,5,539099,1,1,-16.514791,-68.05806700000001,0,460000,2,2009.0
0,40002059.0,5831204.0,6.0,0,5.0,380,0,1815,2269.53,12449,1660,11385,4,451025,1,1,-16.566566,-68.100983,0,328000,2,2015.0
0,40002059.0,5831204.0,4.0,0,3.0,271,0,1494,,10248,1366,9371,2,537017,1,1,-16.539755,-68.05764,0,270000,2,
0,40002059.0,5831204.0,6.0,0,4.0,320,0,2324,,15941,2125,14578,4,539274,1,1,-16.547251,-68.077873,0,420000,1,
0,40002059.0,5831204.0,3.0,0,4.0,400,0,3320,,22772,3036,20826,3,540777,1,1,-16.527134,-68.086929,0,600000,2,1994.0
0,40002059.0,5831204.0,5.0,0,3.0,400,0,1660,2094.46,11386,1518,10413,3,514286,1,1,-16.515982,-68.08805100000001,0,300000,2,2014.0
0,40002059.0,5831204.0,5.0,0,3.0,410,0,2672,,18332,2444,16765,2,534393,1,1,-16.554102,-68.08163499999999,0,483000,1,2019.0
0,40002059.0,5831204.0,5.0,0,3.0,375,0,1577,1989.73,10817,1442,9892,2,488589,1,1,-16.562597,-68.104309,0,285000,2,2018.0
0,40002059.0,5831204.0,3.0,0,4.0,680,0,4315,5419.1,29604,3947,27073,4,465719,1,1,-16.542486,-68.084808,0,780000,2,
0,40002059.0,5831204.0,6.0,0,5.0,485,0,1533,,10513,1402,9614,3,543709,1,1,-16.547642,-68.07807199999999,0,277000,1,2013.0
0,40002059.0,5831204.0,4.0,0,5.0,375,0,2158,,14802,1973,13537,2,540788,1,1,-16.533752,-68.073265,0,390000,2,
0,40002059.0,5831204.0,11.0,0,16.0,847,0,3629,,24898,3319,22769,2,544308,1,1,-16.502075,-68.139648,0,656000,2,1995.0
0,38803456.0,5656480.0,3.0,0,3.0,363,0,1630,,11179,1465,10050,4,10349,1,1,-16.542048,-68.05570999999999,0,250000,1,
0,40002059.0,5831204.0,4.0,0,3.0,273,0,1391,1535.93,9543,1272,8727,4,42859,1,1,-16.524048,-68.052635,0,220000,2,
0,38803456.0,5656480.0,6.0,0,3.0,237,0,1401,,9614,1260,8643,2,63554,1,1,-16.516829,-68.06210300000001,0,215000,1,2017.0
0,48463835.0,7064699.0,3.0,0,4.0,280,0,656,,4501,594,4076,3,543806,1,1,-16.531763,-68.063477,0,110000,1,2019.0
0,40002059.0,5831204.0,3.0,0,3.0,232,0,1391,1528.46,9543,1272,8727,2,466159,1,1,-16.607626,-68.070259,0,220000,2,
0,40002059.0,5831204.0,5.0,0,3.0,672,0,4149,,28465,3795,26032,3,55913,1,1,-16.547808,-68.071159,0,750000,2,
0,48463835.0,7064699.0,3.0,0,3.0,350,0,596,,4092,540,3706,2,544232,1,1,-16.52194,-68.059189,0,100000,2,
0,40002059.0,5831204.0,6.0,0,4.0,360,0,3486,4131.27,23911,3188,21867,3,70998,1,1,-16.516603,-68.061501,0,630000,2,2008.0
0,40002059.0,5831204.0,5.0,0,4.0,500,0,4703,5852.63,32261,4301,29503,4,105072,1,1,-16.540155,-68.085892,0,850000,1,2001.0
