address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
Achumani ,0,40002059,5831204,ENABLED,4,0,5,UC-537418, no social con 20% de aporte propio. ,22/03/2019,280,0,Inmediata,1881,,12904,1720,11801,4,537418,1,1,-16.521725,La Paz,-68.060249,$us,Achumani,0,340000,La Paz,2,Casa,Venta,,2009
EN JARDINES DEL SUR ACHUMANI PRECIOSA CASA EN VENTA,0,40002059,5831204,ENABLED,5,0,3,UC-539099, no social con 20% de aporte propio. ,29/03/2019,554,0,Inmediata,2545,,17459,2327,15966,5,539099,1,1,-16.514791,La Paz,-68.058067,$us,Achumani,0,460000,La Paz,2,Casa,Venta,,2009
Mallasilla  Condominio  Mirasol,0,40002059,5831204,ENABLED,6,0,5,UC-451025, no social con 20% de aporte propio. ,31/03/2019,380,0,Inmediata,1815,2269.53,12449,1660,11385,4,451025,1,1,-16.566566,La Paz,-68.100983,$us,Mallasilla,0,328000,La Paz,2,Casa,Venta,,2015
COTA COTA ,0,40002059,5831204,ENABLED,4,0,3,UC-537017, no social con 20% de aporte propio. ,19/03/2019,271,0,Inmediata,1494,,10248,1366,9371,2,537017,1,1,-16.539755,La Paz,-68.05764,$us,Cota Cota,0,270000,La Paz,2,Casa,Venta,,
AUQUISAMAÑA,0,40002059,5831204,ENABLED,6,0,4,UC-539274, no social con 20% de aporte propio. ,24/03/2019,320,0,Inmediata,2324,,15941,2125,14578,4,539274,1,1,-16.547251,La Paz,-68.077873,$us,Auquisamaña,0,420000,La Paz,1,Casa,Venta,,
Irpavi Calle 4 No. 101 Esquina. Pablo Caballero.,0,40002059,5831204,ENABLED,3,0,4,UC-540777, no social con 20% de aporte propio. ,05/04/2019,400,0,Inmediata,3320,,22772,3036,20826,3,540777,1,1,-16.527134,La Paz,-68.086929,$us,Irpavi,0,600000,La Paz,2,Casa,Venta,,1994
"PRECIOSA CASA EN IRPAVI 2
Linda muy cómoda casa en condominio privado, muy fácil acceso a movilidad pública a sólo media cuadra de la parada de Puma Katary 
400mt2 construidos, 300mt2 de superficie de terreno. 3 plantas con amplios espacios y mucha luz y sol 
Cuenta con 4 dormitorios (2 en suite) con cómodos roperos empotrados y vestidores,  baños  amplios con elegante mobiliario y mesones de granito, 2 salas de estar amplisimas, living comedor con salida al jardín, escritorio, pisos de tajibo entablonado, cómoda y bonita cocina con comedor de diario y mobiliario alto y bajo, amplio sauna con jacuzzi, cuarto de máquinas, deposito, cómodas dependencias de empleada, lindo jardín con parrillero, garaje para 3 movilidades. 
Finísimos acabados 
Precio  Usd. 300.000.-
Contacto Patricia Vilela (celular )",0,40002059,5831204,ENABLED,5,0,3,UC-514286, no social con 20% de aporte propio. ,27/01/2019,400,0,Inmediata,1660,2094.46,11386,1518,10413,3,514286,1,1,-16.515982,La Paz,-68.088051,$us,Irpavi,0,300000,La Paz,2,Casa,Venta,,2014
La Escondida. ,0,40002059,5831204,ENABLED,5,0,3,UC-534393, no social con 20% de aporte propio. ,02/04/2019,410,0,Inmediata,2672,,18332,2444,16765,2,534393,1,1,-16.554102,La Paz,-68.081635,$us,La Florida,0,483000,La Paz,1,Casa,Venta,,2019
Condominio privado de MALLASILLA,0,40002059,5831204,ENABLED,5,0,3,UC-488589, no social con 20% de aporte propio. ,22/01/2019,375,0,Inmediata,1577,1989.73,10817,1442,9892,2,488589,1,1,-16.562597,La Paz,-68.104309,$us,Mallasilla,0,285000,La Paz,2,Casa,Venta,,2018
FCV16145 – COMPRA TU CASA EN CALACOTO,0,40002059,5831204,ENABLED,3,0,4,UC-465719, no social con 20% de aporte propio. ,06/04/2019,680,0,Inmediata,4315,5419.10,29604,3947,27073,4,465719,1,1,-16.542486,La Paz,-68.084808,$us,Calacoto,0,780000,La Paz,2,Casa,Venta,,
