address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
Lado Colegio Highlands International School Mallasilla a 2 cuadras de la Av. Altamirano frente el Club de Golf,0,40002059,5831204,ENABLED,4,0,4,UC-547800, no social con 20% de aporte propio. ,16/04/2019,216,0,Inmediata,1385,,9499,1266,8687,2,547800,1,1,-16.562834,La Paz,-68.104942,$us,Mallasilla,0,219000,La Paz,1,Casa,Venta,,2019
ALTO ACHUMANI - CHIJIPATA - CASA ESTILO RUSTICO,1,46605679,6793831,ENABLED,4,0,3,UC-310279, social. ,30/03/2019,325,0,Inmediata,868,1064.26,5957,792,5430,2,310279,1,1,-16.50746,La Paz,-68.041359,$us,Achumani,0,140000,La Paz,2,Casa,Venta,,
"Calle Prolongación Cordero N°220, zona San Jorge ",0,40002059,5831204,ENABLED,4,0,11,UC-537786, no social con 20% de aporte propio. ,11/04/2019,310,0,Inmediata,2324,,15941,2125,14578,1,537786,1,1,-16.512894,La Paz,-68.120224,$us,San Jorge,0,420000,La Paz,2,Casa,Venta,,1959
"Hermosa y nueva casa en venta, en el condominio privado más verde de La Paz, casi frente a Universidad Privada UPB",0,40002059,5831204,ENABLED,3,0,4,UC-547709, no social con 20% de aporte propio. ,17/04/2019,390,0,Inmediata,1870,,12828,1710,11732,3,547709,1,1,-16.575542,La Paz,-68.125725,$us,Achocalla,0,338000,La Paz,1,Casa,Venta,,2017
Auquisamaña a la altura de la calle 2 de Los Pinos. ,0,40002059,5831204,ENABLED,3,0,3,UC-543546, no social con 20% de aporte propio. ,11/04/2019,308,0,Inmediata,1581,,10844,1446,9917,3,543546,1,1,-16.549068,La Paz,-68.073402,$us,Auquisamaña,0,250000,La Paz,2,Casa,Venta,,1999
"Entrega en agosto de 2019, Achumani, Casi Frente Col. Alemán, Urb. Lamyrpampa, A 7 Minutos De C/23 Calacoto. Ref. 699-00-770",0,40002059,5831204,ENABLED,5,0,5,UC-324762, no social con 20% de aporte propio. ,21/04/2019,430,0,08/2019,1438,1790.22,9868,1316,9024,3,324762,1,1,-16.525328,La Paz,-68.061653,$us,Achumani,0,260000,La Paz,1,Casa,Venta,,2019
"Mallasilla a 2 Cuadras de la Av. Altamirano, Frente al Club de Golf",0,40002059,5831204,ENABLED,3,0,4,UC-547412, no social con 20% de aporte propio. ,15/04/2019,308,0,Inmediata,1394,,9564,1275,8747,2,547412,1,1,-16.563324,La Paz,-68.105347,$us,Mallasilla,0,252000,La Paz,1,Casa,Venta,,2019
Avenida del Escultor Cota Cota,0,40002059,5831204,ENABLED,5,0,5,UC-546174, no social con 20% de aporte propio. ,12/04/2019,371,0,Inmediata,1770,,12145,1619,11107,2,546174,1,1,-16.541605,La Paz,-68.057381,$us,Cota Cota,0,320000,La Paz,2,Casa,Venta,,
EN VENTA HERMOSA RESIDENCIA EN EL CLUB DE GOLF,0,40002059,5831204,ENABLED,6,0,4,UC-428012, no social con 20% de aporte propio. ,08/12/2018,580,0,Inmediata,5533,6975.86,37954,5060,34709,2,428012,1,1,-16.569693,La Paz,-68.098495,$us,Mallasilla,0,1000000,La Paz,2,Casa,Venta,20850.00 $us,
LUJOSA CASA EN VENTA ACHUMANI,0,40002059,5831204,ENABLED,3,0,3,UC-510598, no social con 20% de aporte propio. ,22/04/2019,190,0,Inmediata,1189,1389.32,8155,1087,7458,2,510598,1,1,-16.514442,La Paz,-68.054077,$us,Achumani,0,188000,La Paz,1,Casa,Venta,,2019
Mallasilla  Condominio  Mirasol,0,40002059,5831204,ENABLED,6,0,5,UC-451025, no social con 20% de aporte propio. ,22/04/2019,380,0,Inmediata,1815,2269.53,12449,1660,11385,4,451025,1,1,-16.568037,La Paz,-68.101189,$us,Mallasilla,0,328000,La Paz,2,Casa,Venta,,2015
FCV29448 – COMPRA TU CASA EN IRPAVI,0,40002059,5831204,ENABLED,,0,4,UC-530964, no social con 20% de aporte propio. ,24/04/2019,350,0,Inmediata,1881,,12904,1720,11801,4,530964,1,1,-16.517838,La Paz,-68.083603,$us,Alto Irpavi,0,340000,La Paz,2,Casa,Venta,,
