address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension_built,dimension_ground,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_neighborhood,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
Koani,0,40002059,5831204,ENABLED,4,0,4,UC-551279, no social con 20% de aporte propio. ,27/04/2019,286,261,0,Inmediata,1581,,10844,1446,9917,2,551279,38,1,1,-16.532234,La Paz,-68.079918,$us,Koani,0,250000,La Paz,2,Casa,Venta,,
Casa hermosa en venta-Condominio Abierto en barrio exclusivo final Cota Cota ,0,40002059,5831204,ENABLED,3,0,4,UC-549803, no social con 20% de aporte propio. ,27/04/2019,225,225,0,Inmediata,1581,,10844,1446,9917,0,549803,35,1,1,-16.538757,La Paz,-68.057556,$us,Cota Cota,0,250000,La Paz,2,Casa,Venta,,
ARANJUEZ,0,40002059,5831204,ENABLED,4,0,4,UC-551243, no social con 20% de aporte propio. ,27/04/2019,432,850,0,Inmediata,2932,,20116,2682,18396,3,551243,151,1,1,-16.55986,La Paz,-68.09462,$us,Aranjuez,0,530000,La Paz,2,Casa,Venta,,
IRPAVI,0,40002059,5831204,ENABLED,6,0,3,UC-551407, no social con 20% de aporte propio. ,27/04/2019,600,603,0,Inmediata,3209,,22013,2935,20131,2,551407,37,1,1,-16.514441,La Paz,-68.086395,$us,Irpavi,0,580000,La Paz,2,Casa,Venta,,
ACHUMANI,0,40002059,5831204,ENABLED,4,0,5,UC-547411, no social con 20% de aporte propio. ,29/04/2019,250,300,0,01/2020,1069,,7331,977,6704,3,547411,29,1,1,-16.513678,La Paz,-68.053596,$us,Achumani,0,169000,La Paz,1,Casa,Venta,,2019
FCV25187 – COMPRA TU CASA EN JARDINES DEL SUR,0,40002059,5831204,ENABLED,6,0,4,UC-504981, no social con 20% de aporte propio. ,24/04/2019,345,351,0,Inmediata,2075,2615.95,14233,1897,13016,2,504981,29,1,1,-16.512421,La Paz,-68.057358,$us,Achumani,0,375000,La Paz,2,Casa,Venta,,
"FCV12611 – CASA EN VENTA, VALLE DE ARANJUEZ",0,40002059,5831204,ENABLED,5,0,4,UC-465858, no social con 20% de aporte propio. ,24/04/2019,620,1050,0,Inmediata,4924,6808.61,33779,4503,30891,5,465858,32,1,1,-16.537254,La Paz,-68.072968,$us,Calacoto,0,890000,La Paz,2,Casa,Venta,,
Calacoto. A una cuadra de Avda. Patiño y tres cuadras de San Miguel.,0,40002059,5831204,ENABLED,5,0,4,UC-544110, no social con 20% de aporte propio. ,06/04/2019,557,930,0,Inmediata,7303,,50099,6679,45816,3,544110,32,1,1,-16.541328,La Paz,-68.083305,$us,Calacoto,0,1320000,La Paz,2,Casa,Venta,,1990
Calle Perales No 30 Aranjuez,0,40002059,5831204,ENABLED,6,0,6,UC-542693, no social con 20% de aporte propio. ,02/04/2019,485,500,0,Inmediata,1936,,13284,1771,12148,2,542693,151,1,1,-16.557638,La Paz,-68.098846,$us,Aranjuez,0,350000,La Paz,2,Casa,Venta,,
EN VENTA CASA: ACHUMANI,0,40002059,5831204,ENABLED,5,0,4,UC-520490, no social con 20% de aporte propio. ,04/02/2019,492,320,0,Inmediata,1909,2387.16,13094,1746,11975,2,520490,29,1,1,-16.522589,La Paz,-68.059662,$us,Achumani,0,345000,La Paz,2,Casa,Venta,,2008
Achumani,0,40002059,5831204,ENABLED,4,0,5,UC-511424, no social con 20% de aporte propio. ,16/04/2019,500,650,0,Inmediata,2656,3351.13,18218,2429,16660,0,511424,29,1,1,-16.52322,La Paz,-68.06514,$us,Achumani,0,480000,La Paz,2,Casa,Venta,,
FCV30238 – COMPRA TU CASA CON 2 DEPARTAMENTOS EN LOS PINOS,0,40002059,5831204,ENABLED,4,0,4,UC-537847, no social con 20% de aporte propio. ,24/04/2019,304,494,0,Inmediata,2047,,14043,1872,12842,2,537847,35,1,1,-16.544447,La Paz,-68.065163,$us,Cota Cota,0,370000,La Paz,2,Casa,Venta,,
"Achumani Las Lomas, preciosa casa estilo townhouse, casa  a estrenar",0,40002059,5831204,ENABLED,2,0,3,UC-415056, no social con 20% de aporte propio. ,15/04/2019,165,165,0,Inmediata,999,1087.90,6853,914,6267,1,415056,29,1,1,-16.525305,La Paz,-68.04908,$us,Achumani,0,158000,La Paz,1,Casa,Venta,,2018
CASA EN VENTA ACHUMANI,0,40002059,5831204,ENABLED,5,0,4,UC-483984, no social con 20% de aporte propio. ,24/01/2019,420,627,0,Inmediata,2766,3490.76,18977,2530,17355,3,483984,29,1,1,-16.517899,La Paz,-68.062874,$us,Achumani,0,500000,La Paz,2,Casa,Venta,,2010
FCV19460 – COMPRA TU CASA EN COTA COTA,0,40002059,5831204,ENABLED,4,0,4,UC-468599, no social con 20% de aporte propio. ,24/04/2019,307,185,0,Inmediata,1075,1181.09,7374,983,6744,1,468599,35,1,1,-16.540758,La Paz,-68.063416,$us,Cota Cota,0,170000,La Paz,2,Casa,Venta,,
"HERMOSA CASA EN CARRERAS - MECAPACA

HERMOSA CASA EN CARRERAS - MECAPACA

HERMOSA CASA EN CARRERAS - MECAPACA",0,40002059,5831204,ENABLED,6,0,4,UC-464386, no social con 20% de aporte propio. ,05/10/2018,320,1340,0,Inmediata,1936,2431.65,13284,1771,12148,6,464386,179,1,1,-16.664749,La Paz,-68.015587,$us,Río Abajo,0,350000,La Paz,2,Casa,Venta,,2006
CASA EN VENTA LAS LOMAS DE ACHUMANI,0,40002059,5831204,ENABLED,4,0,3,UC-224412, no social con 20% de aporte propio. ,27/01/2019,625,717,0,Inmediata,1604,2117.32,11007,1467,10066,3,224412,29,1,1,-16.517809,La Paz,-68.051636,$us,Achumani,0,290000,La Paz,2,Casa,Venta,,2015
