address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
Calacoto,0,40002059,5831204,ENABLED,4,0,3,UC-550190, no social con 20% de aporte propio. ,23/04/2019,200,0,Inmediata,1328,,9109,1214,8330,1,550190,2,1,-16.542147,La Paz,-68.083687,$us,Calacoto,0,210000,La Paz,1,Departamento,Venta,,2017
GARZONIER CON JARDIN ACHUMANI,0,48463835,7064699,ENABLED,2,0,1,UC-548153, social. ,17/04/2019,60,0,Inmediata,564,,3867,510,3502,1,548153,2,1,-16.514936,La Paz,-68.061073,$us,Achumani,0,94500,La Paz,1,Departamento,Venta,,2019
"Calle San José #125 Zona Mallasilla, a 2 cuadras de la rotonda de mallasilla",0,48463835,7064699,ENABLED,3,0,3,UC-546171, social. ,11/04/2019,124,0,Inmediata,644,,4419,583,4002,1,546171,2,1,-16.564905,La Paz,-68.099739,$us,Mallasilla,0,108000,La Paz,1,Departamento,Venta,,2018
"Av. Gobles y Calle 6, Bajo Irpavi ",0,40002059,5831204,ENABLED,5,0,5,UC-547143, no social con 20% de aporte propio. ,22/04/2019,284,0,Inmediata,1486,,10193,1359,9322,1,547143,2,1,-16.524008,La Paz,-68.084229,$us,Irpavi,0,235000,La Paz,2,Departamento,Venta,,
FDV31979 – COMPRA TU DEPARTAMENTO EN BAJO SEGUENCOMA,0,44130787,6433059,ENABLED,1,0,1,UC-550021, social. ,24/04/2019,62,0,Inmediata,373,,2556,335,2298,1,550021,2,1,-16.536427,La Paz,-68.099419,$us,Seguencoma,0,65000,La Paz,2,Departamento,Venta,,
Los nuevos Pinos,0,40002059,5831204,ENABLED,4,0,3,UC-515466, no social con 20% de aporte propio. ,08/04/2019,120,0,09/2019,822,802.88,5639,752,5157,1,515466,2,1,-16.54468,La Paz,-68.070724,$us,Los Pinos,0,130000,La Paz,1,Departamento,Venta,,2019
"Calle San José #125 Zona Mallasilla, a 2 cuadras de la rotonda de mallasilla",0,46605679,6793831,ENABLED,3,0,4,UC-546223, social. ,11/04/2019,144,0,Inmediata,750,,5148,684,4693,1,546223,2,1,-16.56489,La Paz,-68.099785,$us,Mallasilla,0,121000,La Paz,1,Departamento,Venta,,2018
COTA COTA AMPLISIMO DEPARTAMENTO EN VENTA ,0,40002059,5831204,ENABLED,3,0,4,UC-539537, no social con 20% de aporte propio. ,09/04/2019,255,0,Inmediata,1454,,9976,1330,9124,1,539537,2,1,-16.540277,La Paz,-68.069763,$us,Cota Cota,0,230000,La Paz,2,Departamento,Venta,,
FDV31935 – COMPRA TU DEPARTAMENTO EN IRPAVI CON JARDIN PRIVADO,0,48463835,7064699,ENABLED,3,0,3,UC-550033, social. ,24/04/2019,116,0,Inmediata,697,,4780,631,4329,1,550033,2,1,-16.514557,La Paz,-68.086945,$us,Irpavi,0,116820,La Paz,2,Departamento,Venta,,
Miraflores cerca Estadio,0,40002059,5831204,ENABLED,2,0,3,UC-542167, no social con 20% de aporte propio. ,02/04/2019,104,0,Inmediata,822,,5639,752,5157,1,542167,2,1,-16.502548,La Paz,-68.125237,$us,Miraflores,0,130000,La Paz,2,Departamento,Venta,,
Los Pinos,0,40002059,5831204,ENABLED,4,0,3,UC-539623, no social con 20% de aporte propio. ,25/03/2019,120,0,Inmediata,854,,5856,781,5355,1,539623,2,1,-16.542938,La Paz,-68.072945,$us,Los Pinos,0,135000,La Paz,1,Departamento,Venta,,
DEPARTAMENTO 8A BLOQUE 19 ,0,40002059,5831204,ENABLED,4,0,3,UC-522958, no social con 20% de aporte propio. ,08/04/2019,120,0,09/2019,854,851.07,5856,781,5355,1,522958,2,1,-16.544624,La Paz,-68.070885,$us,Los Pinos,0,135000,La Paz,1,Departamento,Venta,,2019
Cota cota,0,40002059,5831204,ENABLED,4,0,3,UC-525265, no social con 20% de aporte propio. ,13/02/2019,174,0,Inmediata,854,,5856,781,5355,1,525265,2,1,-16.540649,La Paz,-68.06749,$us,Cota Cota,0,135000,La Paz,2,Departamento,Venta,,
Calle 25 de Calacoto,0,44130787,6433059,ENABLED,1,0,1,UC-516245, social. ,25/01/2019,62,0,Inmediata,360,438.44,2469,324,2221,1,516245,2,1,-16.544626,La Paz,-68.081421,$us,Calacoto,0,62800,La Paz,1,Departamento,Venta,,2017
"HERMOSO PENT HOUSE EN VENTA
SOPOCACHI AV. ARCE",0,40002059,5831204,ENABLED,6,0,3,UC-533381, no social con 20% de aporte propio. ,10/03/2019,265,0,Inmediata,1438,,9868,1316,9024,2,533381,2,1,-16.512096,La Paz,-68.12133,$us,San Jorge,0,260000,La Paz,1,Departamento,Venta,,2003
Achumani calle 34,0,48463835,7064699,ENABLED,3,0,2,UC-505156, social. ,21/12/2018,120,0,Inmediata,701,819.66,4808,635,4354,1,505156,2,1,-16.516527,La Paz,-68.061691,$us,Achumani,0,117500,La Paz,2,Departamento,Venta,,
Achumani,0,46605679,6793831,ENABLED,3,0,2,UC-544600, social. ,08/04/2019,99,0,Inmediata,738,,5063,673,4616,1,544600,2,1,-16.517105,La Paz,-68.061432,$us,Achumani,0,119000,La Paz,2,Departamento,Venta,,2015
FDV31671 – COMPRA TU PENTHOUSE DUPLEX 3D EN EL PEDREGAL,0,40002059,5831204,ENABLED,4,0,3,UC-546541, no social con 20% de aporte propio. ,24/04/2019,208,0,Inmediata,1233,,8458,1128,7735,2,546541,2,1,-16.547512,La Paz,-68.052734,$us,El Pedregal,0,195000,La Paz,2,Departamento,Venta,,
