address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension_built,dimension_ground,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_neighborhood,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
ACHUMANI LAS LOMAS,0,48463835,7064699,ENABLED,1,0,3,UC-551434, social. ,27/04/2019,85,0,0,Inmediata,531,,3642,481,3298,1,551434,29,2,1,-16.527618,La Paz,-68.053825,$us,Achumani,0,89000,La Paz,1,Departamento,Venta,,2017
$us.83.000.-  OPORTUNIDAD  DPTO.  2D  ALTO IRPAVI,0,48463835,7064699,ENABLED,2,0,2,UC-551929, social. ,29/04/2019,83,0,0,Inmediata,495,,3396,448,3076,1,551929,180,2,1,-16.514166,La Paz,-68.084206,$us,Alto Irpavi,0,83000,La Paz,2,Departamento,Venta,,2002
Súper soleados y calientes cerca al mercado de Chasquipampa!,0,48463835,7064699,ENABLED,3,0,4,UC-120619, social. ,15/11/2018,128,0,1,05/2018,626,728.90,4296,567,3891,1,120619,33,2,1,-16.539625,La Paz,-68.047394,$us,Chasquipampa,0,105000,La Paz,1,Departamento,Venta,,2016
Calle 15 de Calacoto sobre la Julio Patiño,0,40002059,5831204,ENABLED,3,0,2,UC-545654, no social con 20% de aporte propio. ,10/04/2019,149,0,0,Inmediata,1442,,9890,1318,9044,2,545654,32,2,1,-16.541565,La Paz,-68.084267,$us,Calacoto,0,228000,La Paz,2,Departamento,Venta,,
GARZONIER CON JARDIN ACHUMANI,0,48463835,7064699,ENABLED,2,0,1,UC-548153, social. ,17/04/2019,60,0,0,Inmediata,564,,3867,510,3502,1,548153,29,2,1,-16.514936,La Paz,-68.061073,$us,Achumani,0,94500,La Paz,1,Departamento,Venta,,2019
FDV31512 – COMPRA TU DEPARTAMENTO EN LA 6 DE AGOSTO,0,40002059,5831204,ENABLED,4,0,4,UC-545695, no social con 20% de aporte propio. ,24/04/2019,154,0,0,Inmediata,1056,,7244,966,6625,0,545695,178,2,1,-16.512133,La Paz,-68.121941,$us,San Jorge,0,167000,La Paz,2,Departamento,Venta,,
DEPARTAMENTO EN VENTA DE 1 DORMITORIO: ACHUMANI,0,40002059,5831204,ENABLED,2,0,1,UC-543989, no social con 20% de aporte propio. ,05/04/2019,97,0,0,Inmediata,985,,6758,901,6180,1,543989,29,2,1,-16.529337,La Paz,-68.069527,$us,Achumani,0,155800,La Paz,1,Departamento,Venta,,
CALACOTO ,0,40002059,5831204,ENABLED,4,0,3,UC-537008, no social con 20% de aporte propio. ,18/03/2019,110,0,0,Inmediata,822,,5639,752,5157,1,537008,55,2,1,-16.546141,La Paz,-68.081688,$us,Auquisamaña,0,130000,La Paz,2,Departamento,Venta,,2013
Sector A Alto irpavi,0,48463835,7064699,ENABLED,2,0,3,UC-539382, social. ,25/04/2019,146,0,0,Inmediata,704,,4828,637,4373,1,539382,180,2,1,-16.51602,La Paz,-68.077332,$us,Alto Irpavi,0,118000,La Paz,1,Departamento,Venta,,2018
Departamento en venta Obrajes Av. Hernando Siles,0,40002059,5831204,ENABLED,4,0,3,UC-536680, no social con 20% de aporte propio. ,18/03/2019,176,0,0,Inmediata,1309,,8979,1197,8211,1,536680,42,2,1,-16.524342,La Paz,-68.110672,$us,Obrajes,0,207000,La Paz,2,Departamento,Venta,,
"Calle 6 de Irpavi 
",0,40002059,5831204,ENABLED,5,0,5,UC-540760, no social con 20% de aporte propio. ,30/03/2019,250,0,0,Inmediata,1581,,10844,1446,9917,1,540760,37,2,1,-16.525715,La Paz,-68.084015,$us,Irpavi,0,250000,La Paz,2,Departamento,Venta,,
PENTHOUSE EN VENTA – AUQUISAMAñA ,0,40002059,5831204,ENABLED,5,0,3,UC-538267, no social con 20% de aporte propio. ,21/03/2019,351,0,0,Inmediata,2545,,17459,2327,15966,2,538267,55,2,1,-16.547129,La Paz,-68.076843,$us,Auquisamaña,0,460000,La Paz,2,Departamento,Venta,,2004
COSTANERA CALLE 25,0,44130787,6433059,ENABLED,2,0,2,UC-537405, social. ,22/03/2019,70,0,0,10/2019,436,,2988,392,2687,1,537405,52,2,1,-16.545101,La Paz,-68.067619,$us,Los Pinos,0,76000,La Paz,1,Departamento,Venta,,2019
Últimos departamentos en venta Irpavi ,0,48463835,7064699,ENABLED,3,0,2,UC-538175, social. ,21/03/2019,87,0,0,Inmediata,626,,4296,567,3891,1,538175,37,2,1,-16.525755,La Paz,-68.086357,$us,Irpavi,0,105000,La Paz,1,Departamento,Venta,,2019
Calacoto ,0,40002059,5831204,ENABLED,2,0,2,UC-536156, no social con 20% de aporte propio. ,18/03/2019,73,0,0,Inmediata,790,,5422,723,4958,1,536156,32,2,1,-16.540903,La Paz,-68.085777,$us,Calacoto,0,125000,La Paz,1,Departamento,Venta,,2018
Alto Irpavi,0,48463835,7064699,ENABLED,3,0,3,UC-538986, social. ,23/03/2019,101,0,0,Inmediata,596,,4092,540,3706,1,538986,180,2,1,-16.529844,La Paz,-68.081001,$us,Alto Irpavi,0,100000,La Paz,2,Departamento,Venta,,
Achumani ,0,48463835,7064699,ENABLED,3,0,2,UC-524773, social. ,13/03/2019,103,0,0,05/2019,614,,4214,556,3817,1,524773,29,2,1,-16.522383,La Paz,-68.062721,$us,Achumani,0,103000,La Paz,1,Departamento,Venta,,
Auquisamaña,0,40002059,5831204,ENABLED,2,0,2,UC-525261, no social con 20% de aporte propio. ,13/02/2019,105,0,0,Inmediata,917,,6290,838,5752,1,525261,55,2,1,-16.548502,La Paz,-68.073158,$us,Auquisamaña,0,145000,La Paz,2,Departamento,Venta,,
ACHUMANI ,0,48463835,7064699,ENABLED,2,0,2,UC-513904, social. ,27/01/2019,101,0,0,Inmediata,602,705.13,4133,546,3743,1,513904,29,2,1,-16.51907,La Paz,-68.064743,$us,Achumani,0,101000,La Paz,1,Departamento,Venta,,2018
