amoblado,bathroom,baulera,bedroom,dimension_built,dimension_ground,garage,latitud,longitud,price,status,year_built,riesgo__alto,riesgo__bajo,riesgo__moderado,riesgo__muy bajo,neighborhood_encoded
0,4.0,0,4.0,286,261,2,-16.532234,-68.079918,250000.0,2,,0,1,0,0,1
0,3.0,0,4.0,225,225,0,-16.538757,-68.057556,250000.0,2,,0,0,1,0,2
0,4.0,0,4.0,432,850,3,-16.55986,-68.09461999999999,530000.0,2,,0,0,1,0,3
0,6.0,0,3.0,600,603,2,-16.514441,-68.086395,580000.0,2,,0,0,1,0,4
0,4.0,0,5.0,250,300,3,-16.513678,-68.053596,169000.0,1,2019.0,1,0,0,0,5
0,6.0,0,4.0,345,351,2,-16.512421,-68.057358,375000.0,2,,1,0,0,0,5
0,5.0,0,4.0,620,1050,5,-16.537254,-68.072968,890000.0,2,,0,1,0,0,6
0,5.0,0,4.0,557,930,3,-16.541328,-68.08330500000001,1320000.0,2,1990.0,0,1,0,0,6
0,6.0,0,6.0,485,500,2,-16.557638,-68.098846,350000.0,2,,0,0,1,0,3
0,5.0,0,4.0,492,320,2,-16.522589,-68.059662,345000.0,2,2008.0,1,0,0,0,5
0,4.0,0,5.0,500,650,0,-16.523220000000002,-68.06514,480000.0,2,,1,0,0,0,5
0,4.0,0,4.0,304,494,2,-16.544447,-68.065163,370000.0,2,,0,0,1,0,2
0,2.0,0,3.0,165,165,1,-16.525305,-68.04908,158000.0,1,2018.0,1,0,0,0,5
0,5.0,0,4.0,420,627,3,-16.517899,-68.062874,500000.0,2,2010.0,1,0,0,0,5
0,4.0,0,4.0,307,185,1,-16.540758,-68.063416,170000.0,2,,0,0,1,0,2
0,4.0,0,3.0,625,717,3,-16.517809,-68.051636,290000.0,2,2015.0,1,0,0,0,5
0,5.0,0,20.0,470,571,1,-16.506088000000002,-68.138535,550000.0,2,,0,0,1,0,7
0,3.0,0,7.0,195,250,2,-16.498272,-68.103287,180000.0,2,,0,1,0,0,8
0,2.0,0,4.0,235,497,2,-16.514997,-68.09114100000001,230000.0,2,1994.0,0,1,0,0,9
0,2.0,0,3.0,0,350,2,-16.513016,-68.123688,330000.0,2,,0,0,1,0,10
0,4.0,0,4.0,200,300,2,-16.521746,-68.05545,205000.0,1,2018.0,1,0,0,0,5
0,4.0,0,3.0,337,300,5,-16.516335,-68.083603,250000.0,2,,0,1,0,0,11
0,3.0,0,5.0,257,200,1,-16.519811999999998,-68.102852,218000.0,2,,0,0,1,0,12
0,3.0,0,4.0,335,448,2,-16.665884,-68.013588,220000.0,2,2005.0,1,0,0,0,13
0,4.0,0,6.0,0,204,1,-16.539158,-68.08114599999999,265000.0,2,,0,1,0,0,6
0,6.0,0,4.0,0,1461,3,-16.542698,-68.062912,980000.0,2,2000.0,0,0,1,0,2
0,5.0,0,4.0,500,777,4,-16.540155,-68.085892,850000.0,1,2001.0,0,1,0,0,6
0,4.0,0,3.0,423,0,3,-16.539234,-68.08671600000001,510000.0,1,2017.0,0,1,0,0,6
0,5.0,0,5.0,433,356,1,-16.502962,-68.117294,370000.0,2,,0,0,0,1,14
0,5.0,0,4.0,435,430,2,-16.517618,-68.062965,550000.0,2,,1,0,0,0,5
0,1.0,0,2.0,180,200,0,-16.497284,-68.101738,83000.0,2,,0,1,0,0,8
0,8.0,0,5.0,510,610,3,-16.502229999999994,-68.082146,570000.0,2,2011.0,0,0,1,0,4
0,4.0,0,4.0,297,373,2,-16.537321,-68.04675300000001,270000.0,2,,0,1,0,0,15
0,3.0,0,4.0,680,680,2,-16.53558,-68.080055,750000.0,2,1950.0,1,0,0,0,5
0,4.0,0,4.0,560,300,0,-16.502979,-68.082169,255000.0,2,,0,0,1,0,4
0,5.0,0,4.0,990,700,1,-16.547079,-68.069542,750000.0,1,2003.0,0,1,0,0,16
0,6.0,0,4.0,380,300,4,-16.528793,-68.085922,395000.0,2,,0,0,1,0,4
1,4.0,0,3.0,325,400,2,-16.507460000000002,-68.041359,140000.0,2,,1,0,0,0,5
0,4.0,0,3.0,370,370,4,-16.515427,-68.06081400000001,465000.0,1,2010.0,1,0,0,0,5
0,4.0,0,3.0,464,400,0,-16.545839,-68.084091,450000.0,2,,0,0,1,0,17
0,5.0,0,4.0,350,280,1,-16.52272,-68.108124,285000.0,2,,0,1,0,0,18
0,5.0,0,4.0,0,0,3,-16.542715,-68.062874,320000.0,2,1995.0,0,0,1,0,2
0,3.0,0,3.0,440,550,2,-16.551388,-68.084808,495000.0,2,,0,0,1,0,17
0,6.0,0,4.0,530,0,3,-16.552507000000002,-68.08371700000001,535000.0,2,2015.0,0,0,1,0,17
0,2.0,0,3.0,200,300,3,-16.533479999999994,-68.10333299999999,210000.0,2,,0,1,0,0,19
0,4.0,0,3.0,340,600,2,-16.542582,-68.06079100000001,415000.0,2,1996.0,0,0,1,0,2
