amoblado,bathroom,baulera,bedroom,dimension_built,dimension_ground,elevator,garage,latitud,longitud,price,status,year_built,riesgo__alto,riesgo__bajo,riesgo__moderado,riesgo__muy bajo,neighborhood_encoded
0,1.0,0,3.0,85,0,0,1,-16.527618,-68.053825,89000.0,1,2017.0,1,0,0,0,1
0,2.0,0,2.0,83,0,0,1,-16.514166,-68.08420600000001,83000.0,2,2002.0,0,1,0,0,2
0,3.0,0,4.0,128,0,1,1,-16.539625,-68.047394,105000.0,1,2016.0,0,1,0,0,3
0,3.0,0,2.0,149,0,0,2,-16.541565,-68.08426700000001,228000.0,2,,0,1,0,0,4
0,2.0,0,1.0,60,0,0,1,-16.514936,-68.061073,94500.0,1,2019.0,1,0,0,0,1
0,4.0,0,4.0,154,0,0,0,-16.512133,-68.121941,167000.0,2,,0,0,0,1,5
0,2.0,0,1.0,97,0,0,1,-16.529336999999998,-68.06952700000001,155800.0,1,,1,0,0,0,1
0,4.0,0,3.0,110,0,0,1,-16.546141,-68.081688,130000.0,2,2013.0,0,1,0,0,6
0,2.0,0,3.0,146,0,0,1,-16.51602,-68.077332,118000.0,1,2018.0,0,1,0,0,2
0,4.0,0,3.0,176,0,0,1,-16.524342,-68.110672,207000.0,2,,0,1,0,0,7
0,5.0,0,5.0,250,0,0,1,-16.525714999999998,-68.08401500000001,250000.0,2,,0,0,1,0,8
0,5.0,0,3.0,351,0,0,2,-16.547129,-68.07684300000001,460000.0,2,2004.0,0,1,0,0,6
0,2.0,0,2.0,70,0,0,1,-16.545101000000006,-68.067619,76000.0,1,2019.0,0,0,1,0,9
0,3.0,0,2.0,87,0,0,1,-16.525755,-68.08635699999999,105000.0,1,2019.0,0,0,1,0,8
0,2.0,0,2.0,73,0,0,1,-16.540903,-68.08577700000001,125000.0,1,2018.0,0,1,0,0,4
0,3.0,0,3.0,101,0,0,1,-16.529844,-68.081001,100000.0,2,,0,1,0,0,2
0,3.0,0,2.0,103,0,0,1,-16.522382999999998,-68.062721,103000.0,1,,1,0,0,0,1
0,2.0,0,2.0,105,0,0,1,-16.548502,-68.07315799999999,145000.0,2,,0,1,0,0,6
0,2.0,0,2.0,101,0,0,1,-16.519070000000006,-68.064743,101000.0,1,2018.0,1,0,0,0,1
0,6.0,0,4.0,222,0,0,2,-16.540627999999998,-68.08356500000001,330000.0,2,,0,1,0,0,4
0,3.0,0,3.0,184,0,0,2,-16.540689,-68.06658900000001,159000.0,2,,0,0,1,0,10
0,3.0,0,2.0,229,0,0,1,-16.547577,-68.052811,152000.0,1,,1,0,0,0,11
0,3.0,1,3.0,132,0,1,1,-16.521866,-68.057709,142000.0,2,,1,0,0,0,1
0,3.0,0,2.0,120,0,0,1,-16.516527,-68.061691,117500.0,2,,1,0,0,0,1
0,3.0,0,4.0,255,0,0,1,-16.540277,-68.069763,230000.0,2,,0,0,1,0,10
0,2.0,0,2.0,75,0,0,0,-16.538757,-68.087273,91000.0,1,2018.0,0,1,0,0,4
0,3.0,1,3.0,183,183,0,2,-16.538742000000006,-68.063843,165000.0,2,,0,0,1,0,10
0,2.0,0,2.0,69,0,0,1,-16.502031,-68.082245,78000.0,2,,0,0,1,0,8
0,4.0,0,3.0,168,0,0,1,-16.518007,-68.062508,178000.0,2,,1,0,0,0,1
0,4.0,0,3.0,124,0,0,1,-16.529419,-68.057816,100000.0,1,2018.0,1,0,0,0,1
0,1.0,1,3.0,85,0,0,1,-16.527704,-68.053444,90000.0,2,,1,0,0,0,1
0,1.0,0,1.0,61,0,0,1,-16.545579999999998,-68.069664,81010.0,1,2019.0,0,0,1,0,9
0,1.0,0,1.0,62,0,0,1,-16.544626,-68.08142099999999,62800.0,1,2017.0,0,1,0,0,4
0,3.0,0,2.0,106,0,0,1,-16.524088,-68.06734499999999,114000.0,1,,1,0,0,0,1
0,3.0,0,3.0,124,0,0,1,-16.539265,-68.074486,131200.0,1,2017.0,0,1,0,0,4
0,3.0,0,3.0,200,0,0,1,-16.531761,-68.096008,200000.0,2,,0,0,1,0,12
0,1.0,0,1.0,50,0,0,1,-16.539351999999994,-68.084259,95000.0,1,,0,1,0,0,4
0,4.0,0,3.0,144,0,0,1,-16.51086,-68.12451899999999,165000.0,2,1979.0,0,0,1,0,13
